"테이블명","테이블ID","컬럼명","컬럼ID","데이터타입","PK","FK","NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","구인인증번호","JO_AUTH_NO","VARCHAR2(20)","PK","PK","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","회사명","CORP_NM","VARCHAR2(100)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","사업자번호","BSNM_NO","CHAR(13)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","채용제목","RECRU_TITLE","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","임금형태원시","WAGE_TYPE_RAW","VARCHAR2(20)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","급여원시","SALARY_RAW","VARCHAR2(50)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","근무지역","WORK_REGION","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","근무형태원시","WORK_TYPE_RAW","VARCHAR2(50)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","최소학력","MIN_ACDMCR","VARCHAR2(20)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","최대학력","MAX_ACDMCR","VARCHAR2(20)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","경력원시","CAREER_RAW","VARCHAR2(100)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","등록일자원시","REG_DT_RAW","VARCHAR2(10)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","마감일자원시","CLOS_DT_RAW","VARCHAR2(50)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","정보제공처","INFO_PROVD_OFFIC","VARCHAR2(50)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","채용로봇URL","RECRU_ROBOT_URL","VARCHAR2(500)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","근무우편번호","WORK_ZIP","VARCHAR2(10)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","근무도로명주소","WORK_RDNMADR","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","근무기본주소","WORK_BASS_ADRES","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","근무상세주소","WORK_DETAIL_ADRES","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_목록","SRV_DT_WORKNET_MASTER","생성일자","CREATE_DT","CHAR(8)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","구인인증번호","JO_AUTH_NO","VARCHAR2(20)","PK, FK","PK, FK","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","회사명","CORP_NM","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","대표자명","MAIN_NM","VARCHAR2(100)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","근로자수","LABRR_CNT","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","자본금","CAP","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","연매출액","YEAR_SALES","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","업종명","BIZ_NM","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","주요사업내용","MAIN_BIZ_CONTENT","VARCHAR2(1000)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","회사주소","CORP_ADDR","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","회사홈페이지","CORP_HPAGE","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","회사규모원시","CORP_SZ_RAW","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","모집직종원시","RCRIT_JSSFC_RAW","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","구인제목","JO_TITLE","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","관련직종","REL_JSSFC","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","직무내용","DTY_CONTENT","VARCHAR2(1000)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","접수마감일","RCEPT_CLOS_DT","VARCHAR2(8)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","고용형태원시","EMPLYM_TYPE_RAW","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","모집인원원시","RCRIT_PSN_RAW","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","임금조건","WAGE_CND","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","경력조건","CAREER_CND","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","학력원시","ACDMCR_RAW","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","외국어","FGGG","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","전공","MAJOR","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","자격면허","QUALF_LCNS","VARCHAR2(2000)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","병력특례채용희망","MLTPWR_EXCPT_RECRU_HOPE","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","컴퓨터활용능력","CMPUTR_PRCUSE_ABLTY","VARCHAR2(1000)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","우대조건","PVLTRT_CND","VARCHAR2(300)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","기타우대조건","ETC_PVLTRT_CND","VARCHAR2(1000)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","채용방법","RECRU_MTH","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","접수방법","RCEPT_MTH","VARCHAR2(500)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","제출서류준비","SUBMIT_PAPERS_PRPARE","VARCHAR2(500)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","기타안내","ETC_GUIDANCE","VARCHAR2(4000)","&nbsp;","&nbsp;","&nbsp;"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","근무예정지","WORK_INTSPT","VARCHAR2(200)","&nbsp;","&nbsp;","NOT NULL"
"워크넷_구인_상세","SRV_DT_WORKNET_DETAIL","소속산업단지","PSITN_IRSTT","VARCHAR2(200)","&nbsp;","&nbsp;","&nbsp;"
